"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,0,0,0,2016
2011,0,0,0,2016
2012,0,0,0,2016
2013,0,0,0,2016
2014,0,0,0,2016
2015,0,0,0,2016
2016,0,0,0,2016
2017,0,0,0,2016
2018,0,0,0,2016
2019,0,0,0,2016
2020,0,0,0,2016
2021,0,0,0,2016
2022,0,0,0,2016
2023,0,0,0,2016
2024,0,0,0,2016
2025,0,0,0,2016
2026,0,0,0,2016
2027,0,0,0,2016
2028,0,0,0,2016
2029,0,0,0,2016
2030,0,0,0,2016
2031,0,0,0,2016
2032,0,0,0,2016
2033,0,0,0,2016
2034,0,0,0,2016
2035,0,0,0,2016
2036,0,0,0,2016
2037,0,0,0,2016
2038,0,0,0,2016
2039,0,0,0,2016
2040,0,0,0,2016
2041,0,0,0,2016
2042,0,0,0,2016
2043,0,0,0,2016
2044,0,0,0,2016
2045,0,0,0,2016
2046,0,0,0,2016
2047,0,0,0,2016
2048,0,0,0,2016
2049,0,0,0,2016
2050,0,0,0,2016
2051,0,0,0,2016
2052,0,0,0,2016
2053,0,0,0,2016
2054,0,0,0,2016
2055,0,0,0,2016
2056,0,0,0,2016
2057,0,0,0,2016
2058,0,0,0,2016
2059,0,0,0,2016
2060,0,0,0,2016
2010,0,0,0,2017
2011,0,0,0,2017
2012,0,0,0,2017
2013,0,0,0,2017
2014,0,0,0,2017
2015,0,0,0,2017
2016,0,0,0,2017
2017,0,0,0,2017
2018,0,0,0,2017
2019,0,0,0,2017
2020,0,0,0,2017
2021,0,0,0,2017
2022,0,0,0,2017
2023,0,0,0,2017
2024,0,0,0,2017
2025,0,0,0,2017
2026,0,0,0,2017
2027,0,0,0,2017
2028,0,0,0,2017
2029,0,0,0,2017
2030,0,0,0,2017
2031,0,0,0,2017
2032,0,0,0,2017
2033,0,0,0,2017
2034,0,0,0,2017
2035,0,0,0,2017
2036,0,0,0,2017
2037,0,0,0,2017
2038,0,0,0,2017
2039,0,0,0,2017
2040,0,0,0,2017
2041,0,0,0,2017
2042,0,0,0,2017
2043,0,0,0,2017
2044,0,0,0,2017
2045,0,0,0,2017
2046,0,0,0,2017
2047,0,0,0,2017
2048,0,0,0,2017
2049,0,0,0,2017
2050,0,0,0,2017
2051,0,0,0,2017
2052,0,0,0,2017
2053,0,0,0,2017
2054,0,0,0,2017
2055,0,0,0,2017
2056,0,0,0,2017
2057,0,0,0,2017
2058,0,0,0,2017
2059,0,0,0,2017
2060,0,0,0,2017
2010,0,0,0,2018
2011,0,0,0,2018
2012,0,0,0,2018
2013,0,0,0,2018
2014,0,0,0,2018
2015,0,0,0,2018
2016,0,0,0,2018
2017,0,0,0,2018
2018,0,0,0,2018
2019,0,0,0,2018
2020,0,0,0,2018
2021,0,0,0,2018
2022,0,0,0,2018
2023,0,0,0,2018
2024,0,0,0,2018
2025,0,0,0,2018
2026,0,0,0,2018
2027,0,0,0,2018
2028,0,0,0,2018
2029,0,0,0,2018
2030,0,0,0,2018
2031,0,0,0,2018
2032,0,0,0,2018
2033,0,0,0,2018
2034,0,0,0,2018
2035,0,0,0,2018
2036,0,0,0,2018
2037,0,0,0,2018
2038,0,0,0,2018
2039,0,0,0,2018
2040,0,0,0,2018
2041,0,0,0,2018
2042,0,0,0,2018
2043,0,0,0,2018
2044,0,0,0,2018
2045,0,0,0,2018
2046,0,0,0,2018
2047,0,0,0,2018
2048,0,0,0,2018
2049,0,0,0,2018
2050,0,0,0,2018
2051,0,0,0,2018
2052,0,0,0,2018
2053,0,0,0,2018
2054,0,0,0,2018
2055,0,0,0,2018
2056,0,0,0,2018
2057,0,0,0,2018
2058,0,0,0,2018
2059,0,0,0,2018
2060,0,0,0,2018
2010,0,0,0,2019
2011,0,0,0,2019
2012,0,0,0,2019
2013,0,0,0,2019
2014,0,0,0,2019
2015,0,0,0,2019
2016,0,0,0,2019
2017,0,0,0,2019
2018,0,0,0,2019
2019,0,0,0,2019
2020,0,0,0,2019
2021,0,0,0,2019
2022,0,0,0,2019
2023,0,0,0,2019
2024,0,0,0,2019
2025,0,0,0,2019
2026,0,0,0,2019
2027,0,0,0,2019
2028,0,0,0,2019
2029,0,0,0,2019
2030,0,0,0,2019
2031,0,0,0,2019
2032,0,0,0,2019
2033,0,0,0,2019
2034,0,0,0,2019
2035,0,0,0,2019
2036,0,0,0,2019
2037,0,0,0,2019
2038,0,0,0,2019
2039,0,0,0,2019
2040,0,0,0,2019
2041,0,0,0,2019
2042,0,0,0,2019
2043,0,0,0,2019
2044,0,0,0,2019
2045,0,0,0,2019
2046,0,0,0,2019
2047,0,0,0,2019
2048,0,0,0,2019
2049,0,0,0,2019
2050,0,0,0,2019
2051,0,0,0,2019
2052,0,0,0,2019
2053,0,0,0,2019
