repeat,race,sex,yob,cessation_year
20,0,0,1910,0
20,0,0,1911,0
20,0,0,1912,0
20,0,0,1913,0
20,0,0,1914,0
20,0,0,1915,0
20,0,0,1916,0
20,0,0,1917,0
20,0,0,1918,0
20,0,0,1919,0
20,0,0,1920,0
20,0,0,1921,0
20,0,0,1922,0
20,0,0,1923,0
20,0,0,1924,0
20,0,0,1925,0
20,0,0,1926,0
20,0,0,1927,0
20,0,0,1928,0
20,0,0,1929,0
20,0,0,1930,0
20,0,0,1931,0
20,0,0,1932,0
20,0,0,1933,0
20,0,0,1934,0
20,0,0,1935,0
20,0,0,1936,0
20,0,0,1937,0
20,0,0,1938,0
20,0,0,1939,0
20,0,0,1940,0
20,0,0,1941,0
20,0,0,1942,0
20,0,0,1943,0
20,0,0,1944,0
20,0,0,1945,0
20,0,0,1946,0
20,0,0,1947,0
20,0,0,1948,0
20,0,0,1949,0
20,0,0,1950,0
20,0,0,1951,0
20,0,0,1952,0
20,0,0,1953,0
20,0,0,1954,0
20,0,0,1955,0
20,0,0,1956,0
20,0,0,1957,0
20,0,0,1958,0
20,0,0,1959,0
20,0,0,1960,0
20,0,0,1961,0
20,0,0,1962,0
20,0,0,1963,0
20,0,0,1964,0
20,0,0,1965,0
20,0,0,1966,0
20,0,0,1967,0
20,0,0,1968,0
20,0,0,1969,0
20,0,0,1970,0
20,0,0,1971,0
20,0,0,1972,0
20,0,0,1973,0
20,0,0,1974,0
20,0,0,1975,0
20,0,0,1976,0
20,0,0,1977,0
20,0,0,1978,0
20,0,0,1979,0
20,0,0,1980,0
20,0,0,1981,0
20,0,0,1982,0
20,0,0,1983,0
20,0,0,1984,0
20,0,0,1985,0
20,0,0,1986,0
20,0,0,1987,0
20,0,0,1988,0
20,0,0,1989,0
20,0,0,1990,0
20,0,0,1991,0
20,0,0,1992,0
20,0,0,1993,0
20,0,0,1994,0
20,0,0,1995,0
20,0,0,1996,0
20,0,0,1997,0
20,0,0,1998,0
20,0,0,1999,0
20,0,0,2000,0
20,0,0,2001,0
20,0,0,2002,0
20,0,0,2003,0
20,0,0,2004,0
20,0,0,2005,0
20,0,0,2006,0
20,0,0,2007,0
20,0,0,2008,0
20,0,0,2009,0
20,0,0,2010,0
20,0,0,2011,0
20,0,0,2012,0
20,0,0,2013,0
20,0,0,2014,0
20,0,0,2015,0
20,0,0,2016,0
20,0,0,2017,0
20,0,0,2018,0
20,0,0,2019,0
20,0,0,2020,0
20,0,0,2021,0
20,0,0,2022,0
20,0,0,2023,0
20,0,0,2024,0
20,0,0,2025,0
20,0,0,2026,0
20,0,0,2027,0
20,0,0,2028,0
20,0,0,2029,0
20,0,0,2030,0
20,0,0,2031,0
20,0,0,2032,0
20,0,0,2033,0
20,0,0,2034,0
20,0,0,2035,0
20,0,0,2036,0
20,0,0,2037,0
20,0,0,2038,0
20,0,0,2039,0
20,0,0,2040,0
20,0,0,2041,0
20,0,0,2042,0
20,0,0,2043,0
20,0,0,2044,0
20,0,0,2045,0
20,0,0,2046,0
20,0,0,2047,0
20,0,0,2048,0
20,0,0,2049,0
20,0,0,2050,0
20,0,0,2051,0
20,0,0,2052,0
20,0,0,2053,0
20,0,0,2054,0
20,0,0,2055,0
20,0,0,2056,0
20,0,0,2057,0
20,0,0,2058,0
20,0,0,2059,0
20,0,0,2060,0
